id,market_and_exchange_names,report_date_as_yyyy_mm_dd,yyyy_report_week_ww,contract_market_name,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_commodity_code,commodity_name,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,noncomm_postions_spread_all,comm_positions_long_all,comm_positions_short_all,tot_rept_positions_long_all,tot_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_old,noncomm_positions_long_old,noncomm_positions_short_old,noncomm_positions_spread,comm_positions_long_old,comm_positions_short_old,tot_rept_positions_long_old,tot_rept_positions_short_1,nonrept_positions_long_old,nonrept_positions_short_old,open_interest_other,noncomm_positions_long_other,noncomm_positions_short_other,noncomm_positions_spread_1,comm_positions_long_other,comm_positions_short_other,tot_rept_positions_long_other,tot_rept_positions_short_2,nonrept_positions_long_other,nonrept_positions_short_other,change_in_open_interest_all,change_in_noncomm_long_all,change_in_noncomm_short_all,change_in_noncomm_spead_all,change_in_comm_long_all,change_in_comm_short_all,change_in_tot_rept_long_all,change_in_tot_rept_short,change_in_nonrept_long_all,change_in_nonrept_short_all,pct_of_open_interest_all,pct_of_oi_noncomm_long_all,pct_of_oi_noncomm_short_all,pct_of_oi_noncomm_spread,pct_of_oi_comm_long_all,pct_of_oi_comm_short_all,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_open_interest_old,pct_of_oi_noncomm_long_old,pct_of_oi_noncomm_short_old,pct_of_oi_noncomm_spread_1,pct_of_oi_comm_long_old,pct_of_oi_comm_short_old,pct_of_oi_tot_rept_long_old,pct_of_oi_tot_rept_short_1,pct_of_oi_nonrept_long_old,pct_of_oi_nonrept_short_old,pct_of_open_interest_other,pct_of_oi_noncomm_long_other,pct_of_oi_noncomm_short_other,pct_of_oi_noncomm_spread_2,pct_of_oi_comm_long_other,pct_of_oi_comm_short_other,pct_of_oi_tot_rept_long_other,pct_of_oi_tot_rept_short_2,pct_of_oi_nonrept_long_other,pct_of_oi_nonrept_short_other,traders_tot_all,traders_noncomm_long_all,traders_noncomm_short_all,traders_noncomm_spread_all,traders_comm_long_all,traders_comm_short_all,traders_tot_rept_long_all,traders_tot_rept_short_all,traders_tot_old,traders_noncomm_long_old,traders_noncomm_short_old,traders_noncomm_spead_old,traders_comm_long_old,traders_comm_short_old,traders_tot_rept_long_old,traders_tot_rept_short_old,traders_tot_other,traders_noncomm_long_other,traders_noncomm_short_other,traders_noncomm_spread_other,traders_comm_long_other,traders_comm_short_other,traders_tot_rept_long_other,traders_tot_rept_short_other,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,conc_gross_le_4_tdr_long_1,conc_gross_le_4_tdr_short_1,conc_gross_le_8_tdr_long_1,conc_gross_le_8_tdr_short_1,conc_net_le_4_tdr_long_old,conc_net_le_4_tdr_short_old,conc_net_le_8_tdr_long_old,conc_net_le_8_tdr_short_old,conc_gross_le_4_tdr_long_2,conc_gross_le_4_tdr_short_2,conc_gross_le_8_tdr_long_2,conc_gross_le_8_tdr_short_2,conc_net_le_4_tdr_long_other,conc_net_le_4_tdr_short_other,conc_net_le_8_tdr_long_other,conc_net_le_8_tdr_short_other,contract_units,commodity,commodity_subgroup_name,commodity_group_name,futonly_or_combined
220802146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-08-02T00:00:00.000,2022 Report Week 31,ETHER CASH SETTLED,146021,CME,CHI,146,ETHER,3485,2025,2312,605,66,205,2696,3122,789,363,3485,2025,2312,605,66,205,2696,3122,789,363,0,0,0,0,0,0,0,0,0,0,-48,58,113,-83,-48,-99,-73,-69,25,21,100.0,58.1,66.3,17.4,1.9,5.9,77.4,89.6,22.6,10.4,100.0,58.1,66.3,17.4,1.9,5.9,77.4,89.6,22.6,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,21,24,10,2,3,29,33,51,21,24,10,2,3,29,33,0,0,0,0,0,0,0,0,36.0,25.9,49.5,43.0,30.9,24.6,42.2,40.5,36.0,25.9,49.5,43.0,30.9,24.6,42.2,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
220726146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-07-26T00:00:00.000,2022 Report Week 30,ETHER CASH SETTLED,146021,CME,CHI,146,ETHER,3533,1967,2199,688,114,304,2769,3191,764,342,3533,1967,2199,688,114,304,2769,3191,764,342,0,0,0,0,0,0,0,0,0,0,-75,-192,-108,175,5,-53,-12,14,-63,-89,100.0,55.7,62.2,19.5,3.2,8.6,78.4,90.3,21.6,9.7,100.0,55.7,62.2,19.5,3.2,8.6,78.4,90.3,21.6,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,21,29,14,2,3,33,38,57,21,29,14,2,3,33,38,0,0,0,0,0,0,0,0,30.9,29.5,47.0,44.4,29.6,26.4,41.5,39.7,30.9,29.5,47.0,44.4,29.6,26.4,41.5,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
220719146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-07-19T00:00:00.000,2022 Report Week 29,ETHER CASH SETTLED,146021,CME,CHI,146,ETHER,3608,2159,2307,513,109,357,2781,3177,827,431,3608,2159,2307,513,109,357,2781,3177,827,431,0,0,0,0,0,0,0,0,0,0,-704,-1069,-478,127,109,-290,-833,-641,129,-63,100.0,59.8,63.9,14.2,3.0,9.9,77.1,88.1,22.9,11.9,100.0,59.8,63.9,14.2,3.0,9.9,77.1,88.1,22.9,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,23,24,10,2,4,32,33,55,23,24,10,2,4,32,33,0,0,0,0,0,0,0,0,31.1,31.0,44.4,46.6,31.1,30.6,41.9,45.3,31.1,31.0,44.4,46.6,31.1,30.6,41.9,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
220712146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-07-12T00:00:00.000,2022 Report Week 28,ETHER CASH SETTLED,146021,CME,CHI,146,ETHER,4312,3228,2785,386,0,647,3614,3818,698,494,4312,3228,2785,386,0,647,3614,3818,698,494,0,0,0,0,0,0,0,0,0,0,407,326,231,94,0,108,420,433,-13,-26,100.0,74.9,64.6,9.0,0.0,15.0,83.8,88.5,16.2,11.5,100.0,74.9,64.6,9.0,0.0,15.0,83.8,88.5,16.2,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,24,30,9,0,6,27,43,61,24,30,9,0,6,27,43,0,0,0,0,0,0,0,0,47.9,26.4,63.4,40.7,45.5,26.4,60.0,40.7,47.9,26.4,63.4,40.7,45.5,26.4,60.0,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
220705146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-07-05T00:00:00.000,2022 Report Week 27,ETHER CASH SETTLED,146021,CME,CHI,146,ETHER,3905,2902,2554,292,0,539,3194,3385,711,520,3905,2902,2554,292,0,539,3194,3385,711,520,0,0,0,0,0,0,0,0,0,0,-62,-137,-111,46,0,60,-91,-5,29,-57,100.0,74.3,65.4,7.5,0.0,13.8,81.8,86.7,18.2,13.3,100.0,74.3,65.4,7.5,0.0,13.8,81.8,86.7,18.2,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,22,27,6,0,5,24,37,55,22,27,6,0,5,24,37,0,0,0,0,0,0,0,0,47.2,25.2,61.9,41.1,44.5,25.2,58.8,41.1,47.2,25.2,61.9,41.1,44.5,25.2,58.8,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
220628146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-06-28T00:00:00.000,2022 Report Week 26,ETHER CASH SETTLED,146021,CME,CHI,146,ETHER,3967,3039,2665,246,0,479,3285,3390,682,577,3967,3039,2665,246,0,479,3285,3390,682,577,0,0,0,0,0,0,0,0,0,0,352,494,602,-44,0,-126,450,432,-98,-80,100.0,76.6,67.2,6.2,0.0,12.1,82.8,85.5,17.2,14.5,100.0,76.6,67.2,6.2,0.0,12.1,82.8,85.5,17.2,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,16,28,5,0,5,18,37,50,16,28,5,0,5,18,37,0,0,0,0,0,0,0,0,58.1,23.6,71.4,40.1,55.5,23.6,68.1,40.1,58.1,23.6,71.4,40.1,55.5,23.6,68.1,40.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
220621146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-06-21T00:00:00.000,2022 Report Week 25,ETHER CASH SETTLED,146021,CME,CHI,146,ETHER,3615,2545,2063,290,0,605,2835,2958,780,657,3615,2545,2063,290,0,605,2835,2958,780,657,0,0,0,0,0,0,0,0,0,0,139,19,-21,-7,0,-18,12,-46,127,185,100.0,70.4,57.1,8.0,0.0,16.7,78.4,81.8,21.6,18.2,100.0,70.4,57.1,8.0,0.0,16.7,78.4,81.8,21.6,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,15,26,5,0,6,19,34,48,15,26,5,0,6,19,34,0,0,0,0,0,0,0,0,52.6,20.7,66.4,35.9,52.6,20.7,63.8,35.9,52.6,20.7,66.4,35.9,52.6,20.7,63.8,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
220614146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-06-14T00:00:00.000,2022 Report Week 24,ETHER CASH SETTLED,146021,CME,CHI,146,ETHER,3476,2526,2084,297,0,623,2823,3004,653,472,3476,2526,2084,297,0,623,2823,3004,653,472,0,0,0,0,0,0,0,0,0,0,404,278,142,243,0,196,521,581,-117,-177,100.0,72.7,60.0,8.5,0.0,17.9,81.2,86.4,18.8,13.6,100.0,72.7,60.0,8.5,0.0,17.9,81.2,86.4,18.8,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,15,27,6,0,7,18,39,51,15,27,6,0,7,18,39,0,0,0,0,0,0,0,0,49.4,25.3,65.8,40.7,48.4,25.3,62.6,40.6,49.4,25.3,65.8,40.7,48.4,25.3,62.6,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
220607146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-06-07T00:00:00.000,2022 Report Week 23,ETHER CASH SETTLED,146021,CME,CHI,146,ETHER,3072,2248,1942,54,0,427,2302,2423,770,649,3072,2248,1942,54,0,427,2302,2423,770,649,0,0,0,0,0,0,0,0,0,0,-14,16,-331,-5,0,114,11,-222,-25,208,100.0,73.2,63.2,1.8,0.0,13.9,74.9,78.9,25.1,21.1,100.0,73.2,63.2,1.8,0.0,13.9,74.9,78.9,25.1,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,15,22,4,0,6,17,31,44,15,22,4,0,6,17,31,0,0,0,0,0,0,0,0,49.4,28.2,63.4,43.0,49.1,28.2,63.0,42.9,49.4,28.2,63.4,43.0,49.1,28.2,63.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
220531146021F,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,2022-05-31T00:00:00.000,2022 Report Week 22,ETHER CASH SETTLED,146021,CME,CHI,146,ETHER,3086,2232,2273,59,0,313,2291,2645,795,441,3086,2232,2273,59,0,313,2291,2645,795,441,0,0,0,0,0,0,0,0,0,0,-357,-243,-18,-157,0,1,-400,-174,43,-183,100.0,72.3,73.7,1.9,0.0,10.1,74.2,85.7,25.8,14.3,100.0,72.3,73.7,1.9,0.0,10.1,74.2,85.7,25.8,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,17,25,3,0,4,19,31,47,17,25,3,0,4,19,31,0,0,0,0,0,0,0,0,48.7,33.1,60.1,52.1,48.6,33.1,60.0,52.0,48.7,33.1,60.1,52.1,48.6,33.1,60.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(50 Index Points),ETHEREUM (ETHER),DIGITAL ASSET,FINANCIAL INSTRUMENTS,FutOnly
